DATE,CRSPTM1,CRSPME1,CRSPLC1,CRSPMI1,CRSPSC1,CRSPMC1,CRSPSX1,CRSPTMT,CRSPMET,CRSPLCT,CRSPMIT,CRSPSCT,CRSPMCT,CRSPSXT,CRSPSM1,CRSPSMT,CAP_RESTATEMENT,CRSPRE1,CRSPEN1,CRSPMT1,CRSPID1,CRSPCS1,CRSPHC1,CRSPTE1,CRSPUT1,CRSPFN1,CRSPIT1,CRSPRET,CRSPENT,CRSPMTT,CRSPIDT,CRSPCST,CRSPHCT,CRSPTET,CRSPUTT,CRSPFNT,CRSPITT,SECTOR_RESTATEMENT,CRSPMEV1,CRSPMEG1,CRSPLCV1,CRSPLCG1,CRSPMIV1,CRSPMIG1,CRSPSCV1,CRSPSCG1,CRSPMEVT,CRSPMEGT,CRSPLCVT,CRSPLCGT,CRSPMIVT,CRSPMIGT,CRSPSCVT,CRSPSCGT,CRSPSMG1,CRSPSMGT,CRSPSMV1,CRSPSMVT,VG_RESTATEMENT
2011-05-13,1006.85,1006.73,1008.17,1014.81,1002.37,972.97,,1008.86,1009.05,1010.32,1016.15,1003.52,974.02,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-16,999.50,1000.44,1001.58,1006.84,990.83,957.03,,1001.55,1002.82,1003.78,1008.22,992.03,958.12,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-17,998.29,1000.36,1000.91,1003.45,986.20,953.61,,1000.57,1003.03,1003.36,1004.88,987.42,954.71,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-18,1008.31,1008.69,1010.16,1016.96,1001.23,965.89,,1010.76,1011.57,1012.81,1018.53,1002.54,967.09,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-19,1010.45,1010.88,1012.38,1019.27,1003.35,964.87,,1012.98,1013.85,1015.10,1020.85,1004.71,966.09,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-20,1003.07,1003.20,1004.92,1012.88,996.28,958.93,,1005.59,1006.14,1007.63,1014.50,997.64,960.17,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-23,990.24,991.43,992.69,998.52,979.24,945.90,,992.74,994.34,995.39,1000.19,980.61,947.12,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-24,989.12,991.00,991.91,996.09,976.26,941.29,,991.63,993.92,994.61,997.78,977.63,942.52,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-25,993.56,994.31,995.58,1001.45,985.26,951.84,,996.15,997.31,998.36,1003.19,986.70,953.11,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-26,998.59,998.05,999.81,1007.96,994.90,963.95,,1001.39,1001.32,1002.83,1009.81,996.40,965.27,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-27,1003.14,1001.87,1004.01,1013.86,1001.62,970.92,,1006.15,1005.35,1007.23,1015.93,1003.30,972.32,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-31,1013.92,1012.77,1014.61,1023.15,1013.21,984.62,,1016.98,1016.29,1017.89,1025.25,1014.94,986.04,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-01,990.06,989.96,991.53,998.79,984.54,955.65,,993.14,993.52,994.84,1000.88,986.33,957.09,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-02,988.99,988.81,990.47,998.15,983.01,957.52,,992.12,992.43,993.83,1000.27,984.83,958.99,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
