filter_config,N,K,config_T,config_fix_mu,results_steps_mean,results_steps_median,results_steps_std,timing_total_script_duration_s_mean,timing_total_script_duration_s_median,timing_total_script_duration_s_std,accuracy_state_estimation_factor_rmse_mean_mean,accuracy_state_estimation_factor_rmse_mean_median,accuracy_state_estimation_factor_rmse_mean_std,accuracy_state_estimation_factor_correlation_mean_mean,accuracy_state_estimation_factor_correlation_mean_median,accuracy_state_estimation_factor_correlation_mean_std,accuracy_state_estimation_volatility_rmse_mean_mean,accuracy_state_estimation_volatility_rmse_mean_median,accuracy_state_estimation_volatility_rmse_mean_std,accuracy_state_estimation_volatility_correlation_mean_mean,accuracy_state_estimation_volatility_correlation_mean_median,accuracy_state_estimation_volatility_correlation_mean_std,loss_diff_mean,loss_diff_median,loss_diff_std,success_rate
PF-5000,15,5,500,1,371.6,335.0,159.75856784535844,190.73986873626708,171.29263019561768,57.05662270976575,4.487089876412388,3.4295554628899607,2.848244609001391,0.7791411607706618,0.7657441148080554,0.07470588634084964,2.5912360826034795,2.399949864738536,1.0150252601033176,0.3347642033583941,0.2966282158320077,0.19001560018820443,-1264718.09296875,-1585358.53125,579293.3513259972,100.0
BIF,5,2,2000,0,93.4,96.0,25.422431040323424,291.89338459968565,301.6091501712799,75.648889885435,4.892420924820067,4.680610587109938,1.5252465142488214,0.761215780277869,0.7751952534020811,0.04963883304122269,1.6369382394146121,1.6374567907449196,0.018841828767803933,0.8738633676743603,0.8736194302852385,0.01154180085748946,9.357625498735093,3.19562730402788,63.30918687970514,100.0
BIF,10,2,1000,0,225.2,274.0,113.14017853972125,410.6425091743469,495.1588728427887,208.59100404579024,3.628384670032152,3.4700985140851905,1.9401843982237141,0.7780176763607827,0.792213461349446,0.06421185810933897,1.796698160487031,1.5474733629491948,0.63804587536031,0.8668409704284631,0.8900945729513329,0.05984164782224577,1344.844525793897,-54.641513258533905,3140.5551708439652,100.0
PF-10000,10,3,2000,0,495.8,374.0,250.70341042754086,1702.852959060669,1583.9024596214294,644.7179645209078,1.1295453454522277,0.9871155688572751,0.5501901250445824,0.9452988784622007,0.9458404836346412,0.006670349962337307,1.841641192324909,1.810398688303085,0.15115621142085214,0.7989530939975213,0.7994747986621542,0.009703169494998432,-74241.144921875,-20218.265625,124525.99575469455,100.0
PF-1000,5,3,1000,0,246.8,239.0,75.84985168080422,63.97889447212219,61.37069511413574,7.536295682107943,1.2290974827049332,1.3333695233618796,0.5436075726618718,0.9133577422114701,0.9286170600163363,0.04945728094293092,1.7233507153319771,1.7483914683302235,0.16493347664200242,0.7351387578428792,0.7652458696109953,0.06619036790992269,42272.87705078125,20657.08203125,61315.984690435485,100.0
BIF,10,2,500,0,259.8,255.0,31.523007470734765,244.17805261611937,241.53848958015442,30.035269554534885,3.3575860172400076,2.2559845589784624,2.744554478438364,0.8333477667392868,0.8199894429495462,0.05238649832427639,1.5833974193589555,1.6056932356495248,0.13381938638209465,0.8716925761703292,0.8644654138564861,0.03436564405768356,-56.336869486460635,-48.67107276334423,31.75609859291872,100.0
PF-5000,10,5,2000,0,235.0,203.0,140.29789734703795,605.2481364250183,550.3414168357849,244.41517129581717,1.6109910798822038,1.5840411425004146,0.16409560707290768,0.7969850833113352,0.8012939343974566,0.029947396529422254,2.0245726298266424,1.912473006562033,0.1691747909916121,0.6708683605088022,0.6980004656235546,0.07106390491934624,93045.225,80465.671875,114675.27005195728,100.0
PF-10000,15,5,2000,0,213.4,194.0,56.123079031713864,1212.50237493515,1245.9611718654633,470.2736028473498,1.9061529858764896,1.8714236474900325,0.12811019296014176,0.7978340196637503,0.7953276716652858,0.020236140688624314,2.1118269538535306,2.103353570687029,0.04864718265904298,0.6998718279159138,0.6977147627494846,0.015271573781551348,442119.3125,443734.859375,126509.97319190869,100.0
PF-5000,15,2,500,0,268.8,233.0,134.7913201953301,170.9122295856476,144.892742395401,74.28029031664704,1.1317632269644904,1.1525051506554602,0.33998158864296757,0.9856097956621996,0.9911197673400421,0.013198939095804944,2.3128753986241066,2.3103978674618366,0.6469669003946508,0.733720657767391,0.7160821144653589,0.09350556763847624,3035.37373046875,3525.27880859375,1873.1203082573727,100.0
BIF,5,3,1000,0,201.4,222.0,94.7169467413303,378.596132850647,420.0686264038086,176.04843896311624,1.928492617848995,1.9752694406154803,0.15747513999915433,0.7499117895269056,0.7681417550252855,0.03802658586449502,1.6201531806456806,1.6187956643540857,0.038224353754683346,0.8319358437406933,0.8387431105053537,0.01442536534337035,171.8645823763148,-69.24328461566597,537.9952613285321,100.0
